rating,claude_sentiment,text,claude_summary,date
3,Negative,App crashes a lot. Most actions that I want to make has the app redirecting me to the website. It takes a long time to do simple actions. It is not user friendly or efficient. Anna is useless.,User reports frequent app crashes and frustration with being redirected to the website for most actions. They note poor performance with slow task completion and criticize both the user interface and the virtual assistant (Anna) as ineffective.,2022-03-06 13:44:02
3,Mixed,"Difficult to get assistance on billing issues, errors. Anna useless, guestions such as ""who do I contact about billing errors?"" Would be helpful. Virtually no routes to agent support. Long wait, over 1 hour. Why? A live agent was most helpful in the end, leading to a decent rating.","Customer experienced significant difficulties getting help with billing issues through the app. The virtual assistant 'Anna' was not helpful, and finding routes to live agent support was challenging. Eventually reached a helpful live agent after waiting over an hour.",2022-02-28 15:26:28
1,Negative,"Second time I'm giving a 1 star rating to this garbage app. You guys are bad in an incredible way. I'm trying to contact support for a misleading bill, and it keeps asking me to sign-in with your Anna bot(dumb and unflexible), in which case I'm already signed-in via the app. The sign-in button does not work. And please, stop replying me to try the ""latest fix"", I have the most up to date app and it's not functioning for basic stuffs. Crazy bad work.","Customer is extremely frustrated with the Rogers app's authentication issues when trying to contact support about a billing concern. The app's chatbot (Anna) keeps requesting sign-in despite the user already being logged in, and the sign-in button is non-functional. Previous attempts to resolve the issue through app updates have not helped.",2021-10-04 17:35:32
1,Negative,"I would give this app zero stars, if it were possible. I am receiving a message that no network is available, and I cannot call Rogers because my phone cannot connect to the network. So through this app I attempted to access support, yet went through the same circle of questions with the robot. Anna asked me if I would like to chat with a specialist, but the specialist was just Anna the robot again, asking me the same questions I already answered. I still cannot make phone calls.","The user is unable to use the app or make phone calls due to a network connectivity issue, and they were unable to get help through the app's customer support chatbot.",2021-07-17 19:04:21
4,Negative,Anna assistant not always working,The Anna assistant is not always working.,2021-07-01 08:42:58
2,Negative,It's mediocre at best. Ask Anna is an exercise in futility. Accessing certain parts of your account takes you outside the app and requires you to log in again. Not streamlined at all.,"User finds the Rogers app mediocre, criticizing the Ask Anna virtual assistant as ineffective. They express frustration with poor integration, noting that accessing certain account areas forces users out of the app and requires repeated logins.",2021-06-13 20:48:28
4,Negative,"Usually reliable...but lost wireless network connection on Monday, April 19 at 12:30am which affected my phone, and my Taxi company's Uber like software, also using Rogers Network. Losing revenue as it is now 7:30am and network connection still down. The automated chat with Anna was completely useless!","Customer experienced a prolonged Rogers network outage lasting over 7 hours, affecting both personal phone and business operations (taxi company software). The outage caused revenue loss for their business. Customer attempted to get help through automated chat system (Anna) but found it ineffective.",2021-04-19 04:23:13
1,Negative,"Most useless app of the year! Just got off the Rogers chat with Samantha, who was trying to tell me that their app works. Clearly from the comments here I can see I am not the only one experiencing these payment issues. I was told I can pay by phone or by bank or other apps. The thing is, their website and Anna, their AI option don't work either. I ask Samantha, why would I download an app that is of no use to me? It's not 1994, I don't pay my bills by phone. Why does my bill keep going up?","Customer is extremely frustrated with Rogers app's payment functionality not working. They attempted to resolve through chat support with agent Samantha but were unsuccessful. Customer also notes issues with website payments, AI assistant (Anna), and complains about rising bills.",2021-03-14 17:22:54
5,Positive,"Seems to be working better. Easily pay my invoice through the app. Viewing invoice is very easy. A little frustrated when using "" Ask Anna."" I am old school, and always prefer to talk to a real person if I need help.","The app is working better, and the user can easily pay their invoice and view it. However, the user prefers talking to a real person for support.",2021-02-17 15:29:58
3,Negative,"My experience with app is not user friendly. I thought that if i tried to change my password it may have been an easy fix, ha wrong. It took me to the home screen where i saw no reset but only data plan upsells. I'm so sick of this web page and their shannanigins(i hope it was spelled correctly). I'd better get a credit or something when i call and that's all i can say.","Customer expresses frustration with the Rogers app's poor user experience, specifically regarding password reset functionality. They were redirected to the home screen showing data plan upsells instead of password reset options. The customer indicates they will need to call customer service for resolution.",2021-01-06 00:07:18
1,Negative,Never get what you want on this freaking app lagging so bad 👎 and if you wanna do anything it will take you out of the app to rogers websit!! Huh ?! Then why the app !!! Useless,"User is extremely frustrated with the Rogers app due to severe performance issues and poor functionality. The app frequently redirects to the Rogers website instead of handling tasks within the app itself, making it essentially useless in the user's view. Significant lag issues are also reported.",2020-11-10 10:50:53
1,Negative,Both the Rogers site and app are terrible. All I wanna do is check my usage and apparently that's some sort of huge deal. step yo game up Rogers,"The Rogers website and app are terrible, with the main issue being the inability to easily check usage.",2013-06-02 23:17:24
1,Negative,Never ever get a contract with rogers. They are scamming sons of craps. I had enuff of their over charges and additional fees for everything. If u wanna donate ur money to thiefs u can get rogers.,"The user has had negative experiences with Rogers, including overcharges and additional fees, and is advising others not to get a contract with them.",2013-03-23 06:21:53
3,Negative,Aucun service à la clientèle au téléphone. Attente de 1 heure plus et toujours rien. Et celà a plusieurs reprises. Le système Anna ne me donne pas satisfaction. Merci de remédier à celà !,"The user experienced long wait times when trying to contact customer service, and the automated assistant did not provide satisfactory help.",2021-08-25 06:41:47
5,Negative,"For first time my phone stopped working only had sos service. Then I was trying to talk with an agent but they Anna chat thing almost cut off my service and then I got a message saying to shut the phone off and on to restart my phone.
I literally just paid my phone bill last week I think, and my balance is 0 so I don’t understand why this happened to me. It was stressful and frustrating. Also why did the Anna chat thing almost cut off my service when I was trying to talk to an agent. That’s not fair and it doesn’t make sense. I still don’t know how to speak to a live person. I tried calling 611 and nothing worked.","The user experienced issues with their phone service, including losing service and having trouble contacting a live agent, which was frustrating and stressful.",
1,Negative,"Came here to say this: in the last week I have been unable to upgrade, change SIM, change plans or really do anything outside of check my bill and my damned usage as a LONG TIME CUSTOMER it’s almost made me wanna cancel ALL my services, what good is this app if I  HAVE to call or speak to someone to do something I was promised the ability to do on my own?? FIX IT","The user is frustrated with the limited functionality of the Rogers iOS app, which does not allow them to perform basic account management tasks like upgrading, changing SIM, or changing plans without having to call or speak to someone.",
