"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0016057,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0086676-PT,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Airdrie ,Alberta,
CI-0017435,Shaw,TV,Service Delivery,Service not working,Intermittent service,Consumer,Kaleden,British Columbia,
CI-0017435,Shaw,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Kaleden,British Columbia,
CI-0031726-PT,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Anmore,British Columbia,
CI-0093832,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,quebec,Quebec,
CI-0009577,Rogers Communications,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0009577,Rogers Communications,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0047625,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,New Glasgow,Nova Scotia,
CI-0006950,EBOX,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Ottawa,Ontario,
CI-0095933,Shaw,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Comox ,British Columbia,
CI-0039363-PT,Shaw,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver,British Columbia,
CI-0039363-PT,Shaw,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver,British Columbia,
CI-0000611,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Calgary,Alberta,
CI-0027744,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,North Vancouver,British Columbia,
CI-0004621,Rogers Communications,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Kitchener,Ontario,
CI-0004621,Rogers Communications,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Kitchener,Ontario,
CI-0020128,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Ottawa,Ontario,
CI-0059857,Bell Canada,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Chertsey ,Quebec,
CI-0097237-PF,Altima Telecom,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,WALKLEY,Quebec,
CI-0095985-PT,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Edmonton,Alberta,
CI-0000152,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,KIRKFIELD,Ontario,
CI-0086831,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Nobleton,Ontario,
CI-0031933,Shaw,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Edmonton,Alberta,
CI-0037658-PT,Bravo Telecom,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Sainte-Thérèse,Quebec,
CI-0003062,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Chestermere,Alberta,
CI-0005034,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton ,Alberta,
CI-0005034,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton ,Alberta,
CI-0084040,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Toronto ,Ontario,
CI-0084040,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto ,Ontario,
CI-0084040,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto ,Ontario,
CI-0021565,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Charlesbourg ,Quebec,
CI-0021565,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Charlesbourg ,Quebec,
CI-0067305,Shaw,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Surrey ,British Columbia,
CI-0075634,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Burnaby,British Columbia,
CI-0039408,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0025464,Bell Canada,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Vaughan,Ontario,
CI-0025464,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vaughan,Ontario,
CI-0025464,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vaughan,Ontario,
CI-0025464,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vaughan,Ontario,
CI-0025464,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vaughan,Ontario,
CI-0042301,Cogeco Connexion (Ontario),Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Sarnia,Ontario,
CI-0067305,Shaw,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Surrey ,British Columbia,
CI-0051961,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0084054,Altima Telecom,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Ottawa,Ontario,
CI-0084054,Altima Telecom,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Ottawa,Ontario,
CI-0039049-PT,Chatr,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sault Ste. Marie,Ontario,
CI-0021476,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mirabel + Saint Laurent,Quebec,
CI-0095905,Bell Aliant,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Moncton,New Brunswick,
CI-0067389-PF,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,mirabel,Quebec,
CI-0016057,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0032271,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0083904-PT,Cogeco Connexion (Quebec),Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Brownsburg-Chatham,Quebec,
CI-0034039-PT,Altima Telecom,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Montreal,Quebec,
CI-0073360,Koodo,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Edmonton,Alberta,
CI-0086676-PT,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Airdrie ,Alberta,
CI-0087516,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Summerside,Prince Edward Island,
CI-0084040,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Toronto ,Ontario,
CI-0084040,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,Device financing,Consumer,Toronto ,Ontario,
CI-0039182,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,TV,Service Delivery,Service not working,Intermittent service,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,North Vancouver,British Columbia,
CI-0009564,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver ,British Columbia,
CI-0009564,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver ,British Columbia,
CI-0009577,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0026935,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Mont-Blanc,Quebec,
CI-0026935,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mont-Blanc,Quebec,
CI-0026935,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mont-Blanc,Quebec,
CI-0047625,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,New Glasgow,Nova Scotia,
CI-0095304,Bell Canada,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sault Ste. Marie,Ontario,
CI-0072596,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton,Alberta,
CI-0039182,TELUS Communications Inc.,TV,Service Delivery,Service not working,Intermittent service,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,North Vancouver,British Columbia,
CI-0063307,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Chatham,Ontario,
CI-0070902,Altima Telecom,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Trois-Rivières,Quebec,
CI-0070902,Altima Telecom,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Trois-Rivières,Quebec,
CI-0027744,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,North Vancouver,British Columbia,
CI-0043545,Sunwire Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Timmins,Ontario,
CI-0043278,307net,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Cantley,Quebec,
CI-0063131,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Shelburne,Nova Scotia,
CI-0056412,Bell Canada,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Saint-Antoine,New Brunswick,
CI-0000152,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,KIRKFIELD,Ontario,
CI-0076907,Koodo,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Kitchener,Ontario,
CI-0031933,Shaw,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Edmonton,Alberta,
CI-0062765,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,One Hundred Mile House,British Columbia,
CI-0016016,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0094594,Bell Canada,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Val-des-monts ,Quebec,
CI-0013902,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Coquitlam,British Columbia,
CI-0013902,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Coquitlam,British Columbia,
CI-0013902,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Coquitlam,British Columbia,
CI-0005034,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Edmonton ,Alberta,
CI-0084040,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Toronto ,Ontario,
CI-0013111,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Toronto,Ontario,
CI-0077230,Cogeco Connexion (Ontario),Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Trenton,Ontario,
CI-0074442,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Small Business,Toronto,Ontario,
CI-0039408,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0077866,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Waterdown,Ontario,
CI-0077866,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Waterdown,Ontario,
CI-0072844,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Saint Jean sur Richelieu ,Quebec,
CI-0093480,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Stony Plain,Alberta,
CI-0051961,Rogers Communications,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0051961,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0035467,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Brampton ,Ontario,
CI-0067389-PF,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,mirabel,Quebec,
CI-0081818,Fizz,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Cantley,Quebec,
CI-0017435,Shaw,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Kaleden,British Columbia,
CI-0009564,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver ,British Columbia,
CI-0026935,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Mont-Blanc,Quebec,
CI-0047625,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,New Glasgow,Nova Scotia,
CI-0095304,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sault Ste. Marie,Ontario,
CI-0095304,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sault Ste. Marie,Ontario,
CI-0053607,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Scarborough,Ontario,
CI-0043160,Bell Canada,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Surrey,British Columbia,
CI-0047819,Bell Canada,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Scarborough,Ontario,
CI-0086831,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Nobleton,Ontario,
CI-0098587,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Montreal,Quebec,
CI-0051323,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Burlington ,Ontario,
CI-0003062,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Chestermere,Alberta,
CI-0013902,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Credit/refund not received,Consumer,Coquitlam,British Columbia,
CI-0043160,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0005034,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Edmonton ,Alberta,
CI-0060034,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Barrie,Ontario,
CI-0077230,Cogeco Connexion (Ontario),Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Trenton,Ontario,
CI-0090657,Bell Aliant,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Big Pond,Nova Scotia,
CI-0075634,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Burnaby,British Columbia,
CI-0065881,Fido,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,London ,Ontario,
CI-0087352,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Consumer,Oshawa,Ontario,
CI-0011730,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,richmond,British Columbia,
CI-0010327,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Innisfil ,Ontario,
CI-0081818,Fizz,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Cantley,Quebec,
CI-0047952,Vidéotron,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Joliette,Quebec,
CI-0047819,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Scarborough,Ontario,
CI-0046383,Fido,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Longueuil ,Quebec,
CI-0013568,Carry Telecom,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Vancouver,British Columbia,
CI-0013902,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Coquitlam,British Columbia,
CI-0030768,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Calgary,Alberta,
CI-0020128,Rogers Communications,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Ottawa,Ontario,
CI-0092469,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Lorraine,Quebec,
CI-0025464,Bell Canada,TV,Credit Management,3rd party credit reporting,,Consumer,Vaughan,Ontario,
CI-0046505,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Brampton,Ontario,
CI-0051961,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0059978,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Port Perry,Ontario,
CI-0077613,Starlink,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Hawthorne,Nova Scotia,
CI-0008431-PT,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,New Westminster,British Columbia,
CI-0094239,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Nazko,British Columbia,
CI-0084054,Altima Telecom,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Ottawa,Ontario,
CI-0039049-PT,Chatr,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Sault Ste. Marie,Ontario,
CI-0039049-PT,Chatr,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Sault Ste. Marie,Ontario,
CI-0021476,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Mirabel + Saint Laurent,Quebec,
CI-0095905,Bell Aliant,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Moncton,New Brunswick,
CI-0027464,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0036091,Telico,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Small Business,Mississauga ,Ontario,
CI-0032271,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mississauga,Ontario,
CI-0078082,TELUS Communications Inc.,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Calgary,Alberta,
CI-0060332-PT,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Stonewall,Manitoba,
CI-0060332-PT,Shaw,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Stonewall,Manitoba,
CI-0000611,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Small Business,Calgary,Alberta,
CI-0082633,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Brampton,Ontario,
CI-0082746,Bell Canada,Wireless services,Credit Management,3rd party credit reporting,,Small Business,Saskatoon,Saskatchewan,
CI-0071007,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,KANATA,Ontario,
CI-0071007,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,KANATA,Ontario,
CI-0071007,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,KANATA,Ontario,
CI-0052702,Altima Telecom,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Montréal ,Quebec,
CI-0023281,Rogers Communications,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0076907,Koodo,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Kitchener,Ontario,
CI-0034039-PT,Altima Telecom,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Montreal,Quebec,
CI-0017435,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Kaleden,British Columbia,
CI-0045219,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Ottawa,Ontario,
CI-0039182,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,North Vancouver,British Columbia,
CI-0039182,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,North Vancouver,British Columbia,
CI-0009577,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0095304,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sault Ste. Marie,Ontario,
CI-0009076,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,North Sydney,Nova Scotia,
CI-0006329,Shaw Direct,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Sainte-Julienne,Quebec,
CI-0072153,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Dollard-Des Ormeaux,Quebec,
CI-0000611,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Calgary,Alberta,
CI-0065881,Fido,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,London ,Ontario,
CI-0026838,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,North Vancouver,British Columbia,
CI-0026838,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,North Vancouver,British Columbia,
CI-0027744,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,North Vancouver,British Columbia,
CI-0004621,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Kitchener,Ontario,
CI-0004621,Rogers Communications,TV,Credit Management,3rd party credit reporting,,Consumer,Kitchener,Ontario,
